plant_id,ghgrp_id,plant_name,lat,lon,address,state,municipality,subregion,subregion_name,region,eaf_capacity,co2e_tonnes_per_mwh,emissions_intensity_co2e_tonne_per_tonne,eaf_capacity_tonnes_of_steel_per_week,scope1_weekly,NA
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",New Jersey,Sayreville,RFCE,RFC East,North East,653,0.505,NA,NA,1386.0208333333333,NA
SUS00008,1004215,Cleveland-Cliffs Steelton steel plant,40.230720, -76.838506,"215 S. Front St., Steelton, PA 17113, United States",Pennsylvania,Steelton,RFCE,RFC East,North East,1000,0.505,NA,NA,2145.5416666666665,NA
SUS00055,1000714,Steel Dynamics Roanoke steel plant,37.272927, -79.998828,"102 Westside Blvd, Roanoke, VA 24017",Virginia,Roanoke,RFCW,RFC West,Southern,660,0.735,NA,NA,2088.6666666666665,NA
SUS00024,1002958,Nucor Steel Hertford plant,36.353006, -76.811471,"1505 River Road, Cofield, North Carolina 27922, United States",North Carolina,Cofield,SRVC,SERC Virginia/Carolina,Southern,1542,0.538,NA,NA,4821.541666666667,NA
SUS00076,1005346,CMC South Carolina steel plant,33.962272, -81.052011,"310 New State Rd., Cayce, SC 29033, United States",South Carolina,Cayce,SRVC,SERC Virginia/Carolina,Southern,776,0.538,NA,NA,2174.3958333333335,NA
SUS00021,1002266,Nucor Steel Berkeley plant,33.004319, -79.880955,"1455 Hagan Avenue, Huger, South Carolina 29450, United States",South Carolina,Huger,SRVC,SERC Virginia/Carolina,Southern,2956,0.538,NA,NA,14509.833333333334,NA
SUS00023,1007946,Nucor Steel Darlington plant,34.375628, -79.895165,"300 Steel Mill Road, Darlington, South Carolina 29540, United States",South Carolina,Darlington,SRVC,SERC Virginia/Carolina,Southern,907,0.538,NA,NA,3732.5625,NA
SUS00063,1001103,Gerdau Cartersville steel plant,34.241226, -84.799539,"384 Old Grassdale Rd NE, Cartersville, GA 30121, United States",Georgia,Cartersville,SRSO,SERC South,Southern,908,0.542,NA,NA,1877.6666666666667,NA
SUS00073,1002216,CMC Steel Florida plant,30.282907, -81.978735,"16770 Rebar Road, Jacksonville, FL 32234, United States",Florida,Jacksonville,FRCC,FRCC All,Southern,949,0.449,NA,NA,2004.875,NA
SUS00048,1000159,U.S. Steel Fairfield plant,33.480697, -86.937854,"5700 Valley Road, Fairfield, Alabama 35064, United States",Alabama,Fairfield,SRSO,SERC South,Southern,1600,0.542,NA,NA,3847.8333333333335,NA
SUS00075,1003981,CMC Alabama steel plant,33.534372, -86.75773,"101 South 50th St., Birmingham, AL 35212, United States",Alabama,Birmingham,SRSO,SERC South,Southern,653,0.542,NA,NA,2313.8333333333335,NA
SUS00033,1003457,Nucor Steel Tuscaloosa plant,33.234761, -87.508498,"1700 Holt Road, Tuscaloosa, Alabama 35404, United States",Alabama,Tuscaloosa,SRSO,SERC South,Southern,1200,0.542,NA,NA,5155.854166666667,NA
SUS00028,1005976,Nucor Steel Decatur plant,34.639630, -87.085738,"4301 Iverson Boulevard, Trinity, Alabama 35673, United States",Alabama,Trinity,SRTV,SERC Tennessee Valley,Southern,2268,0.725,NA,NA,10369.166666666666,NA
SUS00016,1005283,SSAB Americas Alabama steel plant,30.941783, -88.012437,"12400 Highway 43 North, Axis, Alabama 36505, United States",Alabama,Axis,SRSO,SERC South,Southern,1250,0.542,NA,NA,6329.645833333333,NA
SUS00037,1010763,Outokumpu Stainless USA steel plant,31.148179, -87.988660,"1 Steel Dr., Calvert, Alabama, 36513-1300, United States",Alabama,Calvert,SRSO,SERC South,Southern,1000,0.542,NA,NA,4316.520833333333,NA
SUS00077,1006906,CMC Tennessee steel plant,35.978104, -83.956572,"1919 Tennessee Avenue, Knoxville, TN 37921, United States",Tennessee,Knoxville,SRTV,SERC Tennessee Valley,Southern,544,0.725,NA,NA,1874.6041666666667,NA
SUS00027,1003093,Nucor Steel Memphis plant,35.048395, -90.163033,"3601 Paul R. Lowry Road, Memphis, Tennessee 38109, United States",Tennessee,Memphis,SRTV,SERC Tennessee Valley,Southern,891,0.725,NA,NA,3180.3333333333335,NA
SUS00020,1005163,BlueScope North Star Steel plant,41.568783, -84.048129,"6767 County Road 9, Delta, Ohio 43515, United States",Ohio,Delta,RFCM,RFC Michigan,Great Lakes,2183,0.744,NA,NA,6314.708333333333,NA
SUS00018,1013051,JSW Steel USA Ohio plant,40.314891, -80.605553,"1500 Commercial Avenue, Mingo Junction, Ohio 43938, United States",Ohio,Mingo Junction,RFCW,RFC West,North East,1500,0.735,NA,NA,1570.6458333333333,NA
SUS00070,1003474,Charter Steel Cleveland plant,41.443147, -81.659911,"4300 East 49th Street, Cuyahoga Heights, OH 44125, United States",Ohio,Cuyahoga Heights,RFCW,RFC West,Great Lakes,635,0.735,NA,NA,2981.7291666666665,NA
SUS00057,1002768,Vallourec Star Youngstown steel plant,41.125495, -80.683382,"2669 Martin Luther King Jr. Blvd, Youngstown, OH 44510-1033, USA",Ohio,Youngstown,RFCW,RFC West,North East,694,0.735,NA,NA,3094.625,NA
SUS00038,1003799,Republic Steel Canton plant,40.804114, -81.334002,"3707 Georgetown St. N.E., Canton, Ohio 44704-2625, United States",Ohio,Canton,RFCW,RFC West,North East,1092,0.735,NA,NA,2962.5208333333335,NA
SUS00045,1003860,Timken Faircrest steel plant,40.755388, -81.439369,"4511 Faircrest St. SW, Canton, Ohio 44706, United States",Ohio,Canton,RFCW,RFC West,North East,1200,0.735,NA,NA,5237.6875,NA
SUS00054,1006530,Cleveland-Cliffs Mansfield Works,40.790123, -82.526239,"913 Bowman Street, Mansfield, OH 44903",Ohio,Mansfield,RFCW,RFC West,Midwest,600,0.735,NA,NA,2445.4583333333335,NA
SUS00056,1003688,Steel Dynamics Engineered Bar Products steel plant,39.875508, -86.484214,"8000 North County Road 225 East , Pittsboro, Indiana 46167-9094",Indiana,Pittsboro,RFCW,RFC West,Great Lakes,725,0.735,NA,NA,4017.3541666666665,NA
SUS00059,1007866,NLMK Indiana steel plant,41.625912, -87.159989,"6500 S Boundary Rd, Portage, IN 46368, United States",Indiana,Portage,RFCW,RFC West,Great Lakes,770,0.735,NA,NA,2667.0208333333335,NA
SUS00040,1005584,Steel Dynamics Butler plant,41.370640, -84.917454,"4500 County Road 59, Butler, Indiana 46721, United States",Indiana,Butler,RFCW,RFC West,Great Lakes,3000,0.735,NA,NA,19208.5625,NA
SUS00041,1005602,Steel Dynamics Columbia City plant,41.121613, -85.348602,"2601 County Road 700 East, Columbia City, Indiana 46725, United States",Indiana,Columbia City,RFCW,RFC West,Great Lakes,2000,0.735,NA,NA,7326.4375,NA
SUS00022,1004151,Nucor Steel Crawfordsville plant,39.976379, -86.830727,"4537 South Nucor Road, Crawfordsville, Indiana 47933, United States",Indiana,Crawfordsville,RFCW,RFC West,Great Lakes,2304,0.735,NA,NA,7381.583333333333,NA
SUS00067,1004411,Gerdau Monroe steel plant,41.894229, -83.358697,"3000 E Front St, Monroe, MI 48161, United States",Michigan,Monroe,RFCM,RFC Michigan,Great Lakes,771,0.744,NA,NA,2286.6458333333335,NA
SUS00017,1002147,SSAB Americas Iowa steel plant,41.482009, -90.820921,"1770 Bill Sharp Boulevard, Muscatine, Iowa 52761, United States",Iowa,Muscatine,MROW,MRO West,Midwest,1250,0.884,NA,NA,7281.166666666667,NA
SUS00069,1006901,Charter Steel Saukville plant,43.400533, -87.94820,"1658 Cold Springs Road, Saukville, WI 53080, United States",Wisconsin,Saukville,RFCW,RFC West,Great Lakes,550,0.735,NA,NA,3100.1041666666665,NA
SUS00062,1008735,Finkl Steel Chicago plant,41.724915, -87.589968,"1355 East 93rd Street, Chicago, IL 60619, United States",Illinois,Chicago,RFCW,RFC West,Great Lakes,573,0.735,NA,NA,866.75,NA
SUS00030,1002621,Nucor Steel Kankakee plant,41.180734, -87.856196,"One Nucor Way, Bourbonnais, Illinois 60914, United States",Illinois,Bourbonnais,RFCW,RFC West,Great Lakes,794,0.735,NA,NA,2349.1875,NA
SUS00044,1006269,Leggett & Platt Sterling Steel plant,41.785971, -89.710947,"101, Ave K, Sterling, Illinois 61081, United States",Illinois,Sterling,RFCW,RFC West,Midwest,1698,0.735,NA,NA,1831.1666666666667,NA
SUS00060,1004811,Liberty Steel & Wire Peoria plant,41.513249, -87.621438,"7000 S W Adams St. Peoria, IL 61641, United States",Illinois,Peoria,RFCW,RFC West,Midwest,725,0.735,NA,NA,2959.1458333333335,NA
SUS00082,1003268,Alton Steel plant,38.884465, -90.14579,"#5 Cut St, Alton, IL 62002 United States",Illinois,Alton,SRMW,SERC Midwest,Midwest,680.389,0.893,NA,NA,730.7083333333334,NA
SUS00026,1007695,Nucor Steel Norfolk plant,42.078908, -97.360854,"2911 East Nucor Road, Norfolk, Nebraska 68701, United States",Nebraska,Norfolk,MROW,MRO West,Midwest,1134,0.884,NA,NA,4287.208333333333,NA
SUS00011,1012997,U.S. Steel Big River Steel plant,35.644264, -89.941659,"2027 State Hwy 198, Osceola, Arkansas 72370, United States",Arkansas,Osceola,SRMV,SERC Mississippi Valley,Southern,3300,0.481,NA,NA,10999.291666666666,NA
SUS00066,1003052,Gerdau Fort Smith steel plant,35.307055, -94.372912,"5225 Planters Rd, Fort Smith, AR 72916, United States",Arkansas,Fort Smith,SRMV,SERC Mississippi Valley,Southern,550,0.481,NA,NA,1972.125,NA
SUS00031,1005832,Nucor Steel Jewett plant,31.351853, -96.165436,"8812 Highway 79 West, Jewett, Texas 75846, United States",Texas,Jewett,SRMV,SERC Mississippi Valley,Southern,907,0.481,NA,NA,3677.6666666666665,NA
SUS00014,1005344,Gerdau Midlothian Steel Mill,32.457544, -97.034246,"300 Ward Road, 76065 Midlothian, Texas, United States",Texas,Midlothian,ERCT,ERCOT All,Southern,1786,0.571,NA,NA,5683,NA
SUS00012,1004259,CMC Steel Texas plant,29.577459, -98.032017,"1 Steel Mill Dr., Seguin, Texas 78155, United States",Texas,Seguin,ERCT,ERCOT All,Southern,943,0.571,NA,NA,4631.666666666667,NA
SUS00013,1003902,Evraz Pueblo steel plant,38.225770, -104.607895,"2100 South Freeway, Pueblo, Colorado 81004, United States",Colorado,Pueblo,RMPA,WECC Rockies,Western,1100,0.84,NA,NA,5074.041666666667,NA
SUS00034,1005777,Nucor Steel Plymouth plant,41.882789, -112.196743,"7285 W 21200 N West Cemetery Road, Plymouth, Utah 84330, United States",Utah,Plymouth,NWPP,WECC Northwest,Western,908,0.694,NA,NA,4732.333333333333,NA
SUS00078,1004038,CMC Arizona steel plant,33.285828, -111.586561,"11444 East Germann Rd., Mesa, AZ 85212, United States",Arizona,Mesa,AZNM,WECC Southwest,Western,354,0.591,NA,NA,1269.9375,NA
SUS00068,1005755,Cascade Steel Rolling Mills,45.228035, -123.163599,"3200 NE Highway 99W, McMinnville, OR 97128 US",Oregon,McMinnville,NWPP,WECC Northwest,Western,860,0.694,NA,NA,1426.1875,NA
SUS00035,1000029,Nucor Steel Seattle plant,47.569597, -122.367395,"2424 SW Andover Street, Seattle, Washington 98106, United States",Washington,Seattle,NWPP,WECC Northwest,Western,855,0.694,NA,NA,2031.5,NA
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Pennsylvania,Lyndora,RFCE,RFC East,North East,1000,0.505,NA,NA,730.7083333333334,NA
SUS00007,1003668,Cleveland-Cliffs Coatesville steel plant,39.977819, -75.824512,"139 Modena Road, Coatesville, PA 19230, United States",Pennsylvania,Coatesville,RFCE,RFC East,North East,800,0.505,NA,NA,3113.9583333333335,NA
SUS00015,1000394,Gerdau Petersburg Steel Mill,37.181168, -77.449517,"25801 Hofheimer Way, Petersburg, Virginia 23805, United States",Virginia,Petersburg,SRVC,SERC Virginia/Carolina,Southern,1000,0.538,NA,NA,2917.6041666666665,NA
SUS00019,1002977,North American Stainless steel plant,38.725418, -85.076015,"6870 Highway 42 East, Ghent, Kentucky, 41045-9615, United States",Kentucky,Ghent,SRTV,SERC Tennessee Valley,Midwest,1600,0.725,NA,NA,7338.5625,NA
SUS00025,1007642,Nucor Steel Hickman plant,35.901162, -89.776190,"5929 East State Highway 18, Armorel, Arkansas 72315, United States",Arkansas,Armorel,SRMV,SERC Mississippi Valley,Southern,2450,0.481,NA,NA,9460.541666666666,NA
SUS00029,1005700,Nucor Steel Gallatin plant,38.759878, -84.996204,"4831 U.S. Hwy 42 W, Ghent, Kentucky 41405, United States",Kentucky,Ghent,SRTV,SERC Tennessee Valley,Midwest,1452,0.725,NA,NA,4562.708333333333,NA
SUS00032,1007921,Nucor-Yamato Steel Blytheville plant,35.941421, -89.713819,"7301 East County Road 142, Blytheville, Arkansas 72315, United States",Arkansas,Blytheville,SRTV,SERC Tennessee Valley,Southern,2632,0.725,NA,NA,9771,NA
SUS00042,1004616,Steel Dynamics Columbus plant,33.447580, -88.572683,"1945 Airport Road / P.O. Box 1467, Columbus, Mississippi 39701, United States",Mississippi,Columbus,SRTV,SERC Tennessee Valley,Southern,3400,0.725,NA,NA,11983.520833333334,NA
SUS00058,1007348,Optimus Steel Beaumont plant,30.08201, -94.074694,"PO BOX 3869, Beaumont, TX 77704, United States",Texas,Beaumont,SRMV,SERC Mississippi Valley,Southern,700,0.481,NA,NA,1490.3541666666667,NA
